"","robbbPerPop","pctWhite","kidsBornNevrMarr","pctKidsBornNevrMarr","pctUsePubTrans","pctBlack","pctKids2Par","pctFemDivorc","numForeignBorn","pctAllDivorc","pctForeignBorn","pct2Par","popDensity","pct12.17w2Par","persUrban","pctMaleDivorc","pctImmig.10"
"63",98.58,73,678,3.72,11.71,24.63,70.17,16.2,833,12.71,3.38,71.03,4826.9,73.42,24656,8.64,0.73
"64",7.42,99.03,212,1.89,0.19,0.11,72.67,12.13,81,10.14,0.64,72.22,1249.9,73.78,12727,7.8,0.09
"65",52.76,96.35,77,0.32,0.34,0.92,88.59,6.42,1154,5.81,3.43,89.64,1260.7,89.58,33626,5.19,1.03
"66",17.77,98.83,281,1.74,0.03,0.28,73.75,11.97,594,10.46,2.65,74.41,580.3,82.82,0,8.61,0.8
"67",96.04,97.01,125,1.16,0.2,2.55,77.61,9.11,130,8.48,0.97,82.16,369.6,74.35,9827,7.8,0.11
"68",170.42,89.52,232,2.99,16.83,9.69,64.25,12.34,244,11.16,2.29,63.45,8564.4,66.94,10637,9.65,0.48
"69",346.59,82.73,5720,4.81,1.93,15.78,57.18,15.95,3274,14.23,1.98,62.09,2063.3,64.48,165121,12.18,1.23
"70",126.74,92.94,183,2.38,0,5.59,65.51,17.29,172,15.37,1.59,66.54,1451,67.38,0,13.18,0.98
"71",75.59,94.71,777,1.27,3.14,1.61,80.39,10.92,3491,9.4,4.04,80.21,2345.2,82.66,86335,7.74,1.6
"72",55.27,83.79,96,0.67,7.6,11.1,83.94,7.81,2311,6.47,10.92,86.47,2250.1,86.91,21160,5,3.67
"73",10.26,96.54,185,0.85,1.46,1.41,81.3,9.91,3194,8.57,10.94,82.24,2139.7,79.27,29208,7.02,2.02
"74",39.4,91.65,259,2.49,0.55,7.24,67.77,12.38,96,11.36,0.75,71.13,1227.9,75.51,0,10.07,0.18
"75",32.06,97.05,228,0.43,2.34,0.19,89.56,7.77,2193,6.38,2.92,89.17,3625.3,90.14,75058,4.95,0.79
"76",16.62,92.97,229,0.68,9.74,2.53,87.61,9.02,3320,7.31,6.45,87.46,4486.1,85.32,51464,5.4,2.66
"77",12.92,98.03,410,2.64,0.18,0.69,80.98,12.04,464,10.75,2.05,82.93,648.8,79.86,18750,9.43,0.24
"78",98.37,84.1,357,2.65,0,9.78,64.73,14.36,191,13.15,1.27,68.5,1057.3,69.49,0,11.61,0.42
"79",198.68,75.25,12404,4.29,4.29,4.28,61.93,16.19,43397,14.15,10.71,65.86,2503.8,68.55,405312,11.94,4.74
"80",41.87,88.58,330,2.48,1.66,7.36,75.91,10.33,970,9.3,4.16,79.01,249.1,78.78,14937,8.22,1.2
"81",73.75,73.69,200,1.79,0.58,5.57,70.05,11.64,298,10.51,2.49,75.23,1329.7,67.66,0,9.2,0.58
"82",66.98,92.63,286,1.69,0.99,4.6,75.06,14.26,1047,12.53,4.04,75.93,1602.6,76.76,25925,10.7,1.23
"83",0,98.1,213,2.85,8.66,0.89,67.48,14.04,564,12.32,5.39,70.43,3397.6,69.84,10466,10.51,1.27
"84",11.49,97.87,94,0.77,11.76,0.59,82.4,8.77,526,7.8,3.07,83.2,4180.8,78.67,17118,6.63,0.72
"85",236.86,78.17,519,5.53,2.48,16.58,73.64,12.66,1450,11.31,8.21,74.43,606.6,76.42,12456,9.89,4.09
"86",150.83,82.54,437,1.81,0.89,12.06,76.06,13.94,1211,11.2,3.39,78.22,3057.5,76.93,35748,8.16,1.28
"87",26.48,89.79,211,2.12,0.63,9.4,69.43,11.56,98,10.57,0.87,71.5,1098.7,78.06,0,9.36,0.19
"88",24.78,94.18,32,0.38,7.98,0.54,90.33,7.31,1431,5.8,12.51,90.92,3001.1,88.69,11439,4.13,3.58
"89",67.74,94.53,609,1.87,1.18,2.7,71.66,12.63,2264,10.93,5.53,71.82,658.2,74.63,34156,8.97,1.76
"90",28.07,89.39,156,1.33,18.82,3.01,83.65,8.77,2857,7.38,16.06,84.36,6118.4,90.84,17790,5.77,5.61
"91",502.59,84.64,11790,3.97,11.41,7.67,63.51,17.45,33601,16.07,7.68,66.43,3386.2,67.2,437398,14.55,3.86
"92",170.84,83.46,474,2.8,1,10.33,79.06,12.3,2129,11,7.62,81.33,2695.4,79.22,27957,9.75,4.48
"93",309.54,72.98,1217,1.37,1.53,1.45,77.43,13.42,29516,11.64,22.17,79.26,6260.9,78.84,133107,9.77,11.36
"94",17.35,98.01,45,0.44,1.27,0.06,91.5,5.09,146,4.1,1.19,93.07,585.8,94.24,12220,3.1,0.06
"95",155.59,82.76,1394,3.48,3.85,3.64,69.83,15.3,15722,13.43,23.8,72.39,3349.1,74.85,66072,11.56,12.25
"96",52.19,93.76,169,1.77,1.68,3.03,75.4,10.71,696,9.55,5.28,77.84,2104.5,73.14,12895,8.14,1.99
"97",15.21,98.04,34,0.48,3.2,0.17,91.8,6.77,528,6.16,4.51,92.11,2148.7,88.86,11705,5.53,0.76
"98",8.5,97.38,145,1.68,0,1.06,75.83,9.77,559,9.08,5.5,80.47,785.2,82,0,8.33,0.95
"99",27.78,95.49,629,1.95,0.95,0.8,76.33,9.78,1112,8.28,2.25,75.26,3304.7,78.54,49425,6.77,1.22
"100",1035.08,53.85,12972,15.07,9.54,36.14,38.63,14.2,10633,12.44,8.15,45.44,6679.9,44.87,130474,10.37,3.79
"101",309.2,81.67,517,4.92,1.19,15.59,55.69,15.86,224,14.97,2,62.04,3399.4,53.04,11218,13.93,1.07
"102",313.81,58.5,607,3.18,12.33,38.14,67.79,12.81,1039,11.36,4.34,70.37,5104.5,72.46,23930,9.68,0.66
"103",29.15,95.21,51,0.31,4.44,0.44,89.64,6.05,1262,5.14,6.33,90.61,2553.6,88.92,19949,4.13,0.85
"104",141.42,57.56,897,10.7,0,41.48,47.91,12.05,61,10.44,0.58,52,1633.9,62.31,0,8.38,0.39
"105",27.38,98.92,450,1.7,0.62,0.16,79.54,9.3,1183,8.45,3.38,79.23,3344,84.98,34989,7.51,0.41
"106",231.3,79.59,1032,2.24,0.37,3.83,72.29,14.38,6289,12.03,10.41,75.19,2398.1,78.27,60394,9.38,4.98
"107",107.61,58.93,824,5.48,0.71,4.62,58.91,14.09,1699,12.74,10.51,67.21,705.2,69.57,0,11.36,4.27
"108",33.89,88.96,105,1.17,2.24,0.98,75.17,16.83,767,14.83,5.27,75.31,2035.3,72.52,0,12.71,2.85
"109",12.35,96.25,620,1.67,1.89,0.79,75.23,10.11,1563,9.2,2.84,75.13,2959.7,74.09,55006,8.17,1.19
"110",547.39,82.79,217,2.95,8.04,6.36,62.08,20.19,834,19.11,7.02,64.7,1404.9,65.34,11874,18.11,3.66
"111",60.9,77.75,1030,6.51,2.12,11.49,80.04,14.43,1928,13.69,8.3,82.44,2618.2,82.85,23229,13.11,2.7
"112",146.36,86.96,266,1.23,0.75,1.08,79.27,12.71,4092,10.85,12.45,82.69,3178,83.82,32873,8.96,4.98
"113",101.92,83.14,640,5.59,0.16,15.59,69.84,14.45,232,12.39,1.51,72.42,904.5,71.03,15366,10.03,0.35
"114",581.91,68.24,5233,7.88,2.82,29.09,57.44,13.45,5615,11.51,4.5,61.16,1903.4,62.15,124773,9.32,2.34
"115",33.55,82.51,116,2.58,5.17,8.51,75.42,7.75,2061,5.92,17.15,78.23,6306.9,82.2,0,4.26,10.15
"116",13.29,94.56,172,2.52,0.22,1.2,75.76,6.21,446,5.29,3.29,75.39,1161.2,70.89,0,4.27,1.88
"117",19.08,97.92,68,0.82,0.09,0.75,66.02,15.88,205,13.78,2.02,67.94,1925.9,77.51,0,11.21,0.68
"118",0,95.22,89,1.15,1.14,2.55,80.8,15.61,634,12.84,4.88,80.28,659.9,74.03,12814,9.76,2.58
"119",5.42,98.02,64,0.58,2.22,0.76,84.47,9.33,805,8.64,4.52,86.32,422.4,75.55,7850,7.96,0.4
"120",0,95.73,257,1.76,0.56,0.51,74.2,7.78,792,6.76,3.44,73.08,1660.1,72.98,0,5.65,2.72
"121",74.4,77.47,772,2.55,0.6,1.26,68.95,15.27,4230,13.1,10.63,72.38,4187.9,77.49,0,10.75,3.91
"122",128.85,80.05,478,2.71,8.09,11.07,79.76,10.25,4686,8.91,14.98,81.65,2508.1,86.01,31287,7.57,6.41
"123",294.21,81.61,2855,5,1.06,17.38,58.23,15.9,765,14.39,1.09,62.98,3485.1,60.85,70487,12.56,0.29
"124",112.22,93.49,503,1.93,6.04,2.61,74.37,11.61,1406,10.51,3.94,73.49,5009.5,72.93,35710,9.26,2.06
"125",162.83,67.85,688,3.57,0.19,25.51,59.85,13.76,970,12.16,4.24,67.01,1062.7,77.02,0,10.25,2.69
"126",8.09,97.63,148,1.45,0.35,0.54,71.32,13.69,133,12.13,1.1,75.76,2204.9,75.58,0,10.35,0.26
"127",30.91,95.03,343,2.05,0.91,3.49,71.98,13.31,496,11.46,2.24,73.14,1813.5,77,0,9.29,1.14
"128",1108.27,52.83,212238,9.32,10.92,13.99,59.78,14.61,1336665,12.26,38.35,65.54,7168.1,69.13,3485398,9.92,21.64
"129",249.24,88.39,324,3.52,17.27,0.57,74.61,9.93,5599,8.63,41.71,78.15,10587.5,79.83,13425,7.29,19.59
"130",98.5,98.9,113,0.99,0.39,0.34,82.93,7.43,830,6.44,5.39,87.21,644.9,86.62,10135,5.41,0.88
"131",54.02,96.09,606,2.57,1.77,0.53,64.84,13.37,453,12.05,1.67,64.68,709,65.8,27134,10.51,0.45
"132",93.43,93.26,860,4.38,0.5,4.62,67.56,12.43,554,11.28,2.42,69.43,2458.4,75.44,0,9.87,0.91
"133",9.45,96.66,216,1.54,1,2.27,76.31,11.87,336,10.18,1.78,81.33,401.2,82.86,13176,8.37,0.41
"134",374.07,52.73,1139,5.13,3.56,23.47,71.38,13.7,6949,10.62,17.87,76.63,4254.3,81.63,38893,8.48,9.95
"135",40.14,94.7,123,0.76,0.28,1.79,82.38,13.81,773,12.29,2.65,83.43,901.6,81.43,29171,10.73,1.23
"136",144.55,85.14,1903,5.69,1.29,9.93,67.89,10.34,4162,8.97,6.02,70.25,1504.7,62.6,69101,7.46,4.31
"137",16.68,97.25,341,3.62,0.25,0.16,67.52,15,274,13.43,2.53,69.32,2193.5,74.4,0,11.63,0.1
"138",153.46,77.25,732,8.18,2.39,17.71,53.04,10.35,525,9.33,2.91,57.91,9469.3,47.25,18041,8.03,0.75
"139",99.36,78.85,270,3.29,2.34,12.49,81.36,12.57,1448,10.45,10.49,81.05,2251.7,76.37,13800,8.25,4.76
"140",54.2,97.7,763,2.6,0.9,1.7,64.43,14.62,272,13.17,0.8,67.27,2926.2,75.54,33809,11.35,0.13
"141",180.65,93.28,4071,3,4.41,1.93,62.52,17.67,6997,15.82,3.95,63.8,3058.9,67.01,177196,13.7,1.15
"142",63.84,89.69,171,2.27,1.38,0.31,68.41,12.35,211,10.88,1.7,70.24,2561.8,72.35,0,9.4,0.84
"143",116.76,93.76,498,3.63,3.12,0.29,64.05,15.93,669,15.23,4.04,66.09,1510.9,82.52,0,14.49,1.17
"144",417.46,59.81,2024,6.65,0.62,38.25,63.09,12.85,774,10.37,1.85,68.18,1780,66.8,41945,8.05,0.62
"145",0,99.52,177,1.53,0.43,0.1,83.34,7.89,335,7.39,2.06,85.45,281.9,84.1,302,6.86,0.11
"146",117.89,81.98,1258,2.58,5.7,9.04,75.13,10.29,11945,8.09,10.9,75.87,4085,71.98,109592,5.81,6.2
"147",23.4,97.6,182,1.01,0.54,0.93,82.6,11.22,1052,10.46,3.55,83.82,798.4,80.97,0,9.68,0.84
"148",989.26,67.17,893,8.51,2.28,31.3,42.44,16.73,1783,16.77,13.69,49.89,2442.6,42.01,13024,16.81,5.14
"149",0,99,76,0.74,0.1,0.47,73.46,12.75,158,11.74,1.29,75.67,2570,76.14,0,10.52,0.17
"150",33.92,97.68,79,0.64,3.03,0.15,82.14,8.51,450,6.88,2.97,83.29,2608.5,76.39,15128,5.07,0.43
"151",507.07,74.68,3156,8.03,27.8,5.11,56.12,17.32,31959,14.53,55.09,59.81,44229.9,61.43,58012,11.58,26.24
"152",57.39,73.48,128,0.84,3.93,3.23,82.17,13.35,6342,11.7,22.51,82.87,7232,83.86,28176,10,9.64
"153",747.84,49.58,14962,12.65,2.43,47.94,39.1,20.1,2286,17.92,1.62,42.57,4015.8,47.15,140761,15.31,0.21
"154",749.76,57.37,2757,12.96,12.35,29.58,42.94,9.73,6989,8.74,16.76,50.14,7709.4,44.96,41711,7.62,10.58
"155",247.56,71,1638,5.69,0.18,24.96,60.66,13.2,240,11.92,0.79,67.57,2172,68.82,30495,10.45,0.21
"156",746.87,31.69,1825,10.41,8.38,42.94,50.69,18.11,7038,14.87,30.01,56.09,8883,69.39,23451,11.75,18.57
"157",9.27,96.96,46,0.45,0.45,1.59,90.37,6.17,487,4.82,2.97,92.24,544.6,93.44,16392,3.38,1.23
"158",37.04,88.12,187,0.98,1.2,5.13,82.29,12.41,1763,10.54,5.85,84.23,566.3,82.8,29967,8.66,2.89
"159",144.68,64.22,2067,7.04,0.29,33.32,58.17,13.58,764,12.05,2.4,64.43,3024.3,62.3,0,10.26,1.5
"160",39.12,99.14,87,0.81,1.82,0.36,83.13,7.81,359,7.02,2.38,84.63,2534.6,83.5,15080,6.16,0.17
"161",56.32,99.11,375,3.68,3.17,0.23,63.23,12.77,235,12.07,1.86,68.56,5549.8,82.54,12649,11.28,0.11
"162",12.88,98.95,95,0.41,6.1,0.22,86.71,6.38,818,5.69,2.68,88.04,2653.4,90.67,30533,4.92,0.62
"163",49.37,99.16,102,0.72,0.79,0.14,74.84,12.8,107,11.17,0.57,77.99,1615.9,77.08,18828,9.44,0.04
"164",7.67,99.17,131,1.33,0.78,0.44,78.62,11.21,27,10.01,0.21,82.92,355.3,84.85,5987,8.77,0.07
"165",1360.92,32,6192,17.78,12.81,65.17,34.16,15.42,852,14.44,2.04,40.76,8345.8,44.5,41856,13.22,0.55
"166",109.19,78.28,324,3.79,0,21.14,64.99,12.76,31,11.41,0.29,69.47,1158.3,71.41,0,9.72,0.08
"167",1022.83,70.9,15174,7.25,3.3,25.05,51.4,18.14,22291,16.66,7.96,58.62,2487.1,60.73,280015,15.01,2.84
"168",712.03,55.3,49587,7.28,6.68,29.5,57.49,17.88,125862,15.58,12.5,63.68,2838.4,64.88,1006831,13.17,7.27
"169",21.86,93.97,129,1.2,0.49,4.72,73.01,9.61,172,8.35,1.13,75.13,1076,71.15,0,6.9,0.96
"170",75.78,93.76,731,2.3,3.14,0.79,68.05,13.49,3716,11.97,7.11,69.13,2287.7,72.68,52278,10.27,2.59
"171",113.76,95.28,179,0.97,1.02,0.52,63.4,15.78,881,15.61,4.01,70,491.9,77.81,0,15.44,1.14
"172",772.48,69.22,772,3.27,4.33,10.38,67.27,16.73,9121,14.22,23.51,69.39,7336,65.9,38793,11.37,9.19
"173",20.15,96.06,106,1.06,0.68,0.24,71.79,13.14,591,11.49,4.52,72.8,3015.2,80.1,0,9.61,2.03
"174",708.13,78.64,5395,8.86,7.29,9.71,49.62,15.56,3362,14.07,4.29,55.5,7732.5,59.62,78380,12.3,2.01
"175",187.67,63.88,1031,8.68,0.28,33.9,58.82,9.28,644,7.37,3.22,65.83,1118.3,70.24,0,5.4,2.1
"176",1105.38,36.18,5014,7.61,13.14,43.76,49.56,18.5,13613,16.07,15.57,54.71,2838.8,57.97,87425,13.3,7.77
"177",104.4,94.74,654,2.15,1.8,1.02,74.23,9.26,2901,7.94,7.25,77.91,1722.8,76.74,37998,6.43,1.83
"178",71.37,95.02,531,1.26,1.02,4.06,78.25,10.63,698,9.17,1.36,80.26,4843.5,83.66,51206,7.52,0.32
"179",0,98.54,113,1.29,0.05,0.1,81.08,12.01,100,9.98,0.81,79.91,1674.9,81.56,12287,7.9,0.06
"180",35.15,71.46,666,5,0.17,1.07,56.55,12.84,4425,10.6,34.29,63.83,2616.7,66.1,0,7.89,12.9
"181",338.1,41,3044,13.18,0.29,58.44,42.57,15.26,153,13.35,0.64,50.33,1647.8,54.01,0,10.73,0.48
"182",42.25,98.41,46,0.52,0.27,1.04,81.48,7.93,183,7.42,1.59,85.26,552.6,88.88,11475,6.89,0.23
"183",30.64,75.37,496,1.85,0.42,0.16,68.65,9.58,6280,7.43,21.92,74.52,1990.9,77.7,28653,4.96,7.69
"184",19.84,84.93,545,4.4,1.23,13.09,71.83,10.83,439,10.19,2.97,76.66,200,76.11,0,9.47,1.31
"185",32.27,90.82,112,0.56,3.5,5.97,83.56,10.71,1439,9.21,4.75,84.86,1339.6,80,28209,7.53,1.16
"186",38,89.1,1129,2.67,0.67,0.67,68.92,12.5,2852,11.09,4.71,72.39,2057.1,73.49,60359,9.55,2.51
"187",186.01,84.31,1706,3.12,3.03,1.33,67.31,17.63,20787,15,21.57,71.03,5980.4,70.11,96357,12.48,12.58
"188",149.09,84.87,159,2.07,0.15,3,72.9,15.95,1422,13.42,12.18,72.58,2798.7,81.26,11676,10.67,4.21
"189",492.26,76.63,134,1.38,14.68,18.69,82.74,7.96,1956,6.55,11.93,84.96,5529.7,83,16390,5.01,3.39
"190",119.84,91.22,353,3.38,0,0.56,60.99,19.16,642,16.23,5.19,63.66,1641.4,69.92,0,12.78,2.43
"191",12.68,98.73,55,0.66,0.11,0.44,78.71,12.55,83,10.8,0.8,79.63,2705.7,76.74,0,8.75,0.21
"192",120.63,76.04,790,6.71,2.15,21.63,58.27,13.4,550,12.93,2.89,62.35,1746.9,65.39,19027,12.35,1.6
"193",5.29,96.74,32,0.38,0.27,0.67,90.88,5.68,435,5.15,3.42,93.6,937,96.08,12724,4.62,1.45
"194",380.52,58.6,1742,5.04,4.53,17.58,66.23,14.28,8899,12.46,18.71,71.49,4222.7,76.1,47564,10.58,9.64
"195",37.99,90.3,285,0.63,0.62,0.93,85.36,10.77,9128,8.93,12.54,85.98,4027.7,87.05,72820,7,4.79
"196",852.46,58.38,20207,7.4,6.3,13.68,60.26,15.94,104150,13.78,24.25,64.25,8287.7,67.31,429433,11.64,14.81
"197",62.51,95.89,1889,2.84,5.85,0.87,69.45,12.13,2063,10.8,2.41,69.42,1220.6,73.91,85493,9.25,0.58
"198",435.68,57.03,1346,9.56,0,42.5,44.02,15.68,167,14.2,1.14,48.59,1612.7,47.37,0,12.19,0.46
"199",253.84,75.88,1508,2.97,0.73,2.76,76.95,11.54,14211,9.9,18.68,81.42,2579.1,80.51,76095,8.31,9.77
"200",35.93,97.63,411,1.54,5.14,0.86,72.49,10.86,1896,9.33,4.96,75.42,2388,81.22,38195,7.54,1.2
"201",44.67,93.08,806,1.66,0.78,3.48,81.54,11.81,9031,9.68,11.37,81.78,3265,83.5,79443,7.37,4.88
"202",7.6,97.99,43,0.5,0.24,1.26,86.25,7.19,392,6.47,3.02,87.61,503.3,87.47,10295,5.72,0.12
"203",60.59,89.99,757,3.74,0.51,8.16,65.5,14.71,359,12.9,1.49,66.84,791.2,76.73,20392,10.87,0.25
"204",134.95,71.62,528,2.08,6.3,4.08,74.56,13.22,9386,11.65,24.09,77.36,5846.5,79.4,38961,10.12,9.3
"205",358.76,55.19,2641,8.59,0.04,43.48,52.34,14.77,720,12.97,1.81,59.97,1451.1,59.89,0,10.79,0.68
